epoch,step,train_acc,train_loss,val_acc,val_loss
0,1,,,0.5219511985778809,0.8140994310379028
0,1,0.5201465487480164,0.9296211004257202,,
1,3,,,0.5268292427062988,0.7670843601226807
1,3,0.5079365372657776,0.9072672724723816,,
2,5,,,0.5463414788246155,0.7370709776878357
2,5,0.5018315315246582,0.8997451066970825,,
3,7,,,0.5707316994667053,0.7253655195236206
3,7,0.5079365372657776,0.8488194346427917,,
4,9,,,0.5170731544494629,0.7205828428268433
4,9,0.5677655935287476,0.7679288387298584,,
5,11,,,0.5707316994667053,0.6828349232673645
5,11,0.6080586314201355,0.7084481120109558,,
6,13,,,0.5609756112098694,0.6908776164054871
6,13,0.6202686429023743,0.6582685708999634,,
7,15,,,0.5121951103210449,0.787072479724884
7,15,0.653235673904419,0.6225472092628479,,
8,17,,,0.5756097435951233,0.6921756863594055
8,17,0.6275946497917175,0.6247423887252808,,
9,19,,,0.5756097435951233,0.6948105692863464
9,19,0.702075719833374,0.5895535349845886,,
10,21,,,0.5609756112098694,0.7362876534461975
10,21,0.7179487347602844,0.5654401779174805,,
11,23,,,0.5609756112098694,0.7189791202545166
11,23,0.7741147875785828,0.5028913021087646,,
12,25,,,0.5609756112098694,0.7485689520835876
12,25,0.7973138093948364,0.4741751253604889,,
13,27,,,0.5707316994667053,0.8158570528030396
13,27,0.8400488495826721,0.4047282338142395,,
14,29,,,0.5853658318519592,0.8441736698150635
14,29,0.870573878288269,0.3488696813583374,,
15,31,,,0.5804877877235413,0.9022426009178162
15,31,0.8827838897705078,0.31644678115844727,,
16,33,,,0.5951219797134399,0.9927309155464172
16,33,0.9072039127349854,0.25588807463645935,,
17,35,,,0.5902438759803772,1.0707499980926514
17,35,0.9157509207725525,0.2256135493516922,,
18,37,,,0.5853658318519592,1.1226557493209839
18,37,0.9194139242172241,0.2008223980665207,,
19,39,,,0.5902438759803772,1.1460579633712769
19,39,0.9352869391441345,0.1758773922920227,,
20,41,,,0.5902438759803772,1.1645210981369019
20,41,0.9352869391441345,0.1733667105436325,,
21,43,,,0.5951219797134399,1.1786479949951172
21,43,0.9377289414405823,0.15257449448108673,,
22,45,,,0.5951219797134399,1.1870625019073486
22,45,0.930402934551239,0.16573946177959442,,
23,47,,,0.5902438759803772,1.1901090145111084
23,47,0.94017094373703,0.14877817034721375,,
24,49,,,0.5902438759803772,1.1903607845306396
24,49,0.9450549483299255,0.14961346983909607,,
