epoch,step,train_acc,train_loss,val_acc,val_loss
0,1,,,0.47804877161979675,1.0090399980545044
0,1,0.4859584867954254,1.002164602279663,,
1,3,,,0.5170731544494629,0.9122380018234253
1,3,0.47374847531318665,0.9599586725234985,,
2,5,,,0.4829268157482147,0.9149402379989624
2,5,0.5506715774536133,0.866039514541626,,
3,7,,,0.5463414788246155,0.7887704968452454
3,7,0.5604395866394043,0.8124985098838806,,
4,9,,,0.5512195229530334,0.7699875235557556
4,9,0.5799756050109863,0.6896296143531799,,
5,11,,,0.5414634346961975,0.7701374292373657
5,11,0.6300366520881653,0.6176465153694153,,
6,13,,,0.5170731544494629,0.7650012373924255
6,13,0.6776556968688965,0.5757976174354553,,
7,15,,,0.5560975670814514,0.7972318530082703
7,15,0.7692307829856873,0.501664936542511,,
8,17,,,0.5658536553382874,0.8169350028038025
8,17,0.7973138093948364,0.4626955986022949,,
9,19,,,0.5560975670814514,0.8139631152153015
9,19,0.821733832359314,0.4211103022098541,,
